id_evento,Nombre,Recinto,Fecha_incio,Fecha_termino
71,El amor despues del amor,Aotea Centre,2021-05-01,2021-05-02
72,The After Hours,Teatro Coliseo,2018-04-20,2018-04-20
73,Flicker,SALA SANTANA,2021-04-18,2021-04-18
74,Show Forest,Radio City Music Hall,2016-11-04,2016-11-06
75,DISCOTEKA,El Huevo,2017-09-30,2017-09-30
76,1989,Jeunesse Arena,2018-07-13,2018-07-13
77,Beto Cuevas,Kursaal Oostende,2018-12-04,2018-12-04
78,Perfect Specacular Paradise,Sala Apolo,2016-02-26,2016-02-26
79,Ko Ko Pop,Estadio Nacional,2020-01-14,2020-01-14
80,WAR,Shubert Theatre,2021-10-05,2021-10-05
81,Shivers,Lanxess Arena,2018-01-03,2018-01-03
82,Perfect Specacular Paradise,Estadio Monumental,2016-06-16,2016-06-16
83,Twelve Carat Tour,Sala La Rivera,2022-08-07,2022-08-07
84,Mystere,LAUT,2019-10-08,2019-10-11
85,Dont start now,Teatro Gran Rex,2017-02-02,2017-02-02
86,Material Girl,Estadio ANZ,2016-06-21,2016-06-21
87,Hips dont lie,Espacio Riesco,2017-12-22,2017-12-22
88,QueenB,Club Providencia,2019-06-08,2019-06-08
89,Plastic Hearts,UBS Arena,2021-05-23,2021-05-23
90,Bang Bang,Warehouse Live,2021-03-02,2021-03-02
91,Lively And Supreme,Mercedes-Benz Arena,2020-11-09,2020-11-09
92,Lali Esposito: The Show,Days Bay Pavilion,2021-03-03,2021-03-03
93,S.U.N.O,Cupula Multiespacio,2018-08-21,2018-08-21
94,El negrito ojos claros,Teatro Municipal de Valparaiso,2018-07-07,2018-07-07
95,Salimo de Noche,Palacio de las Artes,2019-02-28,2019-02-28
96,Beyond Wonderland,Gran Arena Monticello,2016-06-29,2016-06-29
97,The Real Slim Shady,Club Subterraneo,2020-01-10,2020-01-12
98,Revelation Magic Everything,Trafalgar Centre Paru,2022-04-01,2022-04-01
99,Passionfruit,Club Blondie,2017-05-18,2017-05-18
100,Heather,Teatro Teleton,2021-01-18,2021-01-18
101,EteSesh,FirstOntario Centre,2019-07-07,2019-07-07
102,Ye,El Huevo,2022-08-11,2022-08-11
103,Super Freaky Girl,Casino de Vina del Mar,2022-01-01,2022-01-01
104,DISCOTEKA,Independance Club,2021-02-28,2021-02-28
105,SongKick,SOF Q8 Toinha Brasil,2020-09-08,2020-09-08
106,Ultra Solo ,Niceto Club,2021-12-11,2021-12-11
107,Schulz Forever,Arena Ludwingsburg,2021-02-22,2021-02-22
108,Born this way,Shubert Theatre,2017-08-05,2017-08-05
109,Dia Cero,Forest National,2018-11-14,2018-11-14
110,Papi Juancho,Estadio Rose Bowl,2022-07-17,2022-07-17
111,La Ultima Vuelta,Club RBX,2016-11-12,2016-11-14
112,Le Reve,The Fillmore Philadelphia,2017-03-28,2017-03-31
113,A7S Show,Barclaycard Arena,2017-12-19,2017-12-19
114,Umbrella Concert,Movistar Arena,2019-07-08,2019-07-08
115,The Encounter,Crypto.com Arena,2022-04-17,2022-04-17
116,El Duko2.0,Thunder Bay,2020-07-29,2020-07-29
117,KAWAII,SALA SANTANA,2022-06-02,2022-06-02
118,Paramore,Niceto Club,2017-11-01,2017-11-01
119,Tomorrow Never Knows,Studio The Venue,2020-07-03,2020-07-03
120,Telepatia,Raley Field,2017-02-03,2017-02-03
121,PlanAhead,Luna Park,2021-02-05,2021-02-05
122,Big Time,Stage Live Kalea,2016-07-04,2016-07-04
123,MMM Bop,Wilterm Theatre,2017-08-16,2017-08-16
124,Anastasia,Teatro Cariola,2019-07-19,2019-07-19
125,Five Day,Arena TSB Bank ,2021-08-07,2021-08-07
126,Fruta y te,Raley Field,2017-04-17,2017-04-17
127,Dolby Live,Palais 12,2016-07-06,2016-07-06
128,Map of the Soul,Teatro Municipal de Santiago,2020-05-12,2020-05-15
129,Born this way,Irving Plaza,2020-12-09,2020-12-09
130,Passionfruit,Columbianhalle,2020-10-10,2020-10-10
131,WAP,Madison Square Garden,2018-12-23,2018-12-23
132,Tusa,Metropolitano Rosario,2020-07-11,2020-07-11
133,Frozen,Teatro Colon,2019-09-12,2019-09-12
134,El Alfa Tour,The Brooklyn Monarch,2019-08-25,2019-08-25
135,Reputation,Raley Field,2016-03-30,2016-03-31
136,MJ Tribute,Warehouse Live,2016-12-01,2016-12-03
137,FULL PIOLI,Estadio Rose Bowl,2017-07-13,2017-07-13
138,One Night Only,WIZink Center,2017-09-26,2017-09-26
139,Same old love,Days Bay Pavilion,2020-03-28,2020-03-28
140,Convencete,Thunder Bay,2020-02-16,2020-02-16
141,Bigger than me,Metropol ,2020-01-06,2020-01-06
142,Alpha Eventalist,Estadio Bicentario de La Florida,2021-10-15,2021-10-15
143,Young Flex,Estadio de Futbol Atanasio Girardot,2018-04-09,2018-04-09
144,Nicky Jam Show,Radio City Music Hall,2019-08-28,2019-08-28
145,Big E Party Moment,Air Canada Centre,2020-10-18,2020-10-18
146,Natural,Gran Arena Monticello,2016-07-05,2016-07-05
147,Fourplan Mania,Kursaal Oostende,2019-04-29,2019-04-29
148,Get Jacked,Arena TSB Bank ,2017-01-16,2017-01-16
149,JLo,Club Subterraneo,2018-02-18,2018-02-18
150,MMM Bop,HISTORY,2022-05-14,2022-05-14
151,Eventage Feasts,Luna Park,2016-09-06,2016-09-06
152,Mil Rosas,City Hall el Rodeo,2016-03-03,2016-03-03
153,I Used to Think I could Fly,Salitre Magico,2019-10-23,2019-10-23
154,Que oso,Youtube Theatre,2018-05-22,2018-05-22
155,Telepatia,Club Chocolate,2022-06-04,2022-06-04
156,Everybody,Gran Arena Monticello,2016-10-21,2016-10-21
157,Shape of you,Aussie Stadium,2016-04-20,2016-04-20
158,CARAVANA,Carioca Club,2018-07-29,2018-07-29
159,Papi Juancho,Teatro Municipal de Santiago,2020-09-18,2020-09-18
160,Ko Ko Pop,Palau Sant Jordi,2019-04-20,2019-04-20
161,Golden,La Marina de Valencia,2022-03-23,2022-03-26
162,Bigger than me,Teatro Colon,2021-05-29,2021-05-29
163,Roads Time,Columbianhalle,2020-06-02,2020-06-02
164,Young Dumb and Broke,Trafalgar Centre Paru,2020-09-06,2020-09-06
165,RBD the comeback,Teatro Municipal de Valparaiso,2020-02-17,2020-02-17
166,Talking to the moon,Aotea Centre,2021-02-24,2021-02-24
167,TJB,Dodger Stadium,2022-06-25,2022-06-25
168,Schulz Forever,La Marina de Valencia,2022-03-22,2022-03-22
169,Younger now,HISTORY,2017-03-27,2017-03-27
170,Treat you better,Moon Valencia,2019-09-30,2019-09-30
171,Habana ,Velodromo de Berlin,2018-09-10,2018-09-10
172,Bigger than me,Estadio ANZ,2019-07-28,2019-07-28
173,I Aint Worried,Estadio Monumental,2019-01-12,2019-01-12
174,Kill my mind,La Madeleine,2017-01-28,2017-01-28
175,Paramore,Powerstation 33,2016-05-30,2016-05-30
176,Best Part,Chango Club,2018-11-08,2018-11-08
177,Maria Becerra,Teatro Municipal de Santiago,2022-10-06,2022-10-06
178,ShoNuf Lucky,Opera de Sidney,2019-10-02,2019-10-02
179,El Duko,Parque Bicentenario Cerrillos,2018-12-07,2018-12-07
180,How do you sleep,Teatro Municipal de Santiago,2021-09-25,2021-09-25
181,Lively And Supreme,Quinta Vergara,2018-08-30,2018-08-30
182,El Ultimo Concierto,Gran Arena Monticello,2016-07-19,2016-07-22
183,Gowlding,Salitre Magico,2022-12-17,2022-12-17
184,Tren al Sur,Estadio Bicentario de La Florida,2018-11-27,2018-11-27
185,RUNAWAY,Estadio ANZ,2021-07-09,2021-07-12
186,CARAVANA,Don Haskins Center,2019-05-01,2019-05-01
187,Todo Cambia,Fundo Colmito,2021-12-15,2021-12-15
188,One Night Only,Bilbao Arena,2021-10-08,2021-10-08
189,Watch out for this,Sala But,2019-12-17,2019-12-17
190,Seize The Day,Thunder Bay,2022-08-09,2022-08-09
191,Dangerous Woman,Days Bay Pavilion,2018-08-02,2018-08-02
192,I Aint Worried,Luna Park,2021-05-15,2021-05-15
193,La Ultima Mision,Estadio Rose Bowl,2017-12-08,2017-12-08
194,Drivers License Tour,ZAG Arena,2016-02-17,2016-02-17
195,Heather,Palau Sant Jordi,2018-01-03,2018-01-03
196,Dangerous Woman,Niceto Club,2021-07-22,2021-07-22
197,Gowlding,Sala Apolo,2019-03-07,2019-03-07
198,Michael Jackson Tribute,Cupula Multiespacio,2017-11-13,2017-11-15
199,The Misery,Spark Arena,2020-10-27,2020-10-27
200,El J23,Canadian Tire Centre,2020-07-10,2020-07-10
