id,Nombre,Recinto,Fecha de incio,Fecha de termino,Artista,Productora
27,One Night Only,Movistar Arena,04-05-2019,04-05-2019,Bee Gees,G & t business group spa
28,DISCOTEKA,Mercedes-Benz Arena,10-04-2016,10-04-2016,Lola Indigo,Bierlinerin
29,Niño Blessi,Bikini Barcelona,19-04-2020,19-04-2020,DrefQuila,Live Nation
30,Bangerz,Don Haskins Center,12-08-2018,12-08-2018,Miley Cyrus,Hartmann Studios
31,La Criminal,Club Subterraneo ,11-06-2019,11-06-2019,Natti Natasha,Glovox producciones limitada
32,Mami Tour,Columbianhalle,19-12-2022,19-12-2022,Paloma Mami,Nachhaltige Events
33,Map of the Soul,Shubert Theatre,21-06-2020,23-06-2020,BTS,The Imagos
34,Twelve Carat Tour,Teatro Mayor ,29-05-2022,29-05-2022,Post Malone,Tyg Eventos y Producciones
35,A7S Show,Carrer Baix Vinalopo,01-06-2019,01-06-2019,A7S,Live Nation
36,Nobody like you,Palau Sant Jordi,26-07-2022,26-07-2022,Nicki Nicole,Live Nation
37,How do you sleep,Teatro Municipal de Santiago,14-09-2022,14-09-2022,Sam Smith,Lotus producciones limitada
38,Lotto,Estadio Nacional,10-10-2021,10-10-2021,EXO,Tolten eventos
39,Phoenix Show,Espacio Unimed,01-08-2016,01-08-2016,Rita Ora,Somosfk
40,Myrad,Teatro Municipal de Santiago,05-03-2016,05-03-2016,Nicky Romero,Universal circus
41,Sub Focus,Moon Valencia,15-02-2016,20-02-2016,Coldplay,Ibolele Producciones
42,Young Dumb and Broke,Teatro Municipal de Santiago,16-09-2022,16-09-2022,Khalid,G & t business group spa
43,S.U.N.O,The Anthem,16-06-2016,16-06-2016,Pablo Chill/E,Los Angeles AV Production
44,EQILIBRIO,Festhalle,14-08-2021,14-08-2021,Polima Westcoast,Europages
45,DJ Snake,Espacio Unimed,15-02-2016,15-02-2016,DJ Snake,Brasil Stands
46,The After Hours,WIZink Center,11-04-2021,11-04-2021,The Weeknd,Planet Events
47,Sin Despertar,Warehouse Live,26-02-2020,26-02-2020,Kudai,Hartmann Studios
48,El negrito ojos claros,Hipodromo de Palermo,24-08-2017,24-08-2017,Ozuna,FEG ENTRETENIMIENTOS
49,Papi Juancho,Cirque Royal,16-07-2021,16-07-2021,Maluma,Expat
50,Sueño Stereo,Shubert Theatre,08-02-2020,08-02-2020,Soda Stereo,Eveerlast Productions INC.
51,One Vision of Queen,Teatro Gran Rex,24-07-2020,27-07-2020,Queen,FMG PRODUCCIONES
52,Perfect All Experimenters,Aotea Centre,24-07-2016,24-07-2016,Anitta,Event Management NZ
53,The Joshua Tree,Luna Park,27-02-2020,27-02-2020,U2,COMPAÑÍA ARGENTINA DE SUEÑOS
54,Mami Tour,Thunder Bay,07-09-2022,07-09-2022,Paloma Mami,EventsEye
55,Concha Acústica UC 2022,Club Subterraneo ,24-10-2022,28-10-2022,Jordan 23,Eventos mudness limitada
56,The E.N.D World,Air Canada Centre,05-12-2021,05-12-2021,Black Eyed Peas,Eventos Toronto Shaddai
57,Step by Step,City Hall el Rodeo,28-03-2016,28-03-2016,New Kids on the Block,Onlygroundmusic
58,LOS APARATOS,Tarpeian Precinct Lawn,08-12-2018,08-12-2018,Trueno,YouTOOProject
59,Mil Rosas,Leons Centre,18-01-2018,18-01-2018,La Oreja de Van Gogh,Eventos Toronto Shaddai
60,La leyenda,UBS Arena,03-02-2018,03-02-2018,Gustavo Cerati,Event Production Company
61,Caminemos de la Mano,Quinta Vergara,21-07-2016,21-07-2016,Pailita,Casa eventos
62,Anastasia,Pabellon Fuente de San Luis,07-04-2020,07-04-2020,Cami,Planet Events
63,Desesperados,Arena TSB Bank ,24-09-2019,24-09-2019,Rauw Alejando,Lets Dance
64,Real Scene,Phoenix Concert Theatre,09-11-2021,09-11-2021,Big Bang,Yataco
65,Entre Nosotros,Sala La Rivera,21-12-2020,21-12-2020,Tiago PZK,Live Nation
66,Me Veras Volver,Palau Sant Jordi,09-06-2017,11-06-2017,Soda Stereo,Live Nation
67,Fine Line,Estadio Rose Bowl,08-11-2022,10-11-2022,Harry Styles,Live Nation
68,The After Hours,Teatro Caupolicán,05-08-2018,05-08-2018,The Weeknd,Apparcel producciones limitada
69,Heartbreak Weather,SALA SANTANA,16-06-2020,16-06-2020,Niall Horan,LetsGo Company
70,Oh How,La Madeleine,09-10-2021,09-10-2021,Eagles,Xceed
71,El amor despues del amor,Aotea Centre,01-05-2021,02-05-2021,Fito Paez,Lets Dance
72,The After Hours,Teatro Coliseo,20-04-2018,20-04-2018,The Weeknd,Producciones oz limitada
73,Flicker,SALA SANTANA,18-04-2021,18-04-2021,Niall Horan,IndyRock
74,Show Forest,Radio City Music Hall,04-11-2016,06-11-2016,5 Seconds of Summer,Hartmann Studios
75,DISCOTEKA,El Huevo,30-09-2017,30-09-2017,Lola Indigo,Global producciones spa
76,1989,Jeunesse Arena,13-07-2018,13-07-2018,Taylor Swift,Somosfk
77,Beto Cuevas,Kursaal Oostende,04-12-2018,04-12-2018,Beto Cuevas,Litmind
78,Perfect Specacular Paradise,Sala Apolo,26-02-2016,26-02-2016,Alan Walker,Live Nation
79,Ko Ko Pop,Estadio Nacional,14-01-2020,14-01-2020,EXO,Ramasso Productora
80,WAR,Shubert Theatre,05-10-2021,05-10-2021,U2,Live Nation
81,Shivers,Lanxess Arena,03-01-2018,03-01-2018,Ed Sheeran,CK Events Germany
82,Perfect Specacular Paradise,Estadio Monumental,16-06-2016,16-06-2016,Alan Walker,Vision world producciones limitada
83,Twelve Carat Tour,Sala La Rivera,07-08-2022,07-08-2022,Post Malone,Live Nation
84,Mystere,LAUT,08-10-2019,11-10-2019,Cirque du Solei,IndyRock
85,Dont start now,Teatro Gran Rex,02-02-2017,02-02-2017,Dua Lipa,FMG PRODUCCIONES
86,Material Girl,Estadio ANZ,21-06-2016,21-06-2016,Madonna,Event Hire Sydney
87,Hips dont lie,Espacio Riesco,22-12-2017,22-12-2017,Shakira,Productora energy in motion limitada
88,QueenB,Club Providencia,08-06-2019,08-06-2019,Beyonce,Casa eventos
89,Plastic Hearts,UBS Arena,23-05-2021,23-05-2021,Miley Cyrus,Los Angeles AV Production
90,Bang Bang,Warehouse Live,02-03-2021,02-03-2021,Jessie J,Los Angeles AV Production
91,Lively And Supreme,Mercedes-Benz Arena,09-11-2020,09-11-2020,Armin Van Buuren,Eventveranstalter Hamburg
92,Lali Esposito: The Show,Days Bay Pavilion,03-03-2021,03-03-2021,Lali Esposito,Leading Event Agency
93,S.U.N.O,Cupula Multiespacio,21-08-2018,21-08-2018,Pablo Chill-E,DG Medios y espectaculos s.a.
94,El negrito ojos claros,Teatro Municipal de Valparaiso,07-07-2018,07-07-2018,Ozuna,Producciones musicales massivo reccords limitada
95,Salimo de Noche,Palacio de las Artes,28-02-2019,28-02-2019,Tiago PZK,LetsGo Company
96,Beyond Wonderland,Gran Arena Monticello,29-06-2016,29-06-2016,Marshmello,BDD Producciones
97,The Real Slim Shady,Club Subterraneo,10-01-2020,12-01-2020,Eminem,DG Medios y espectaculos s.a.
98,Revelation Magic Everything,Trafalgar Centre Paru,01-04-2022,01-04-2022,Afrojack,Queenstown Event Company
99,Passionfruit,Club Blondie,18-05-2017,18-05-2017,Drake,Producciones y eventos empire digital limitada
100,Heather,Teatro Teletón,18-01-2021,18-01-2021,Conan Gray,Eventos luis maturana ortega e.i.r.l
101,EteSesh,FirstOntario Centre,07-07-2019,07-07-2019,Sech,Canada Eventos
102,Ye,El Huevo,11-08-2022,11-08-2022,Kanye West,G & t business group spa
103,Super Freaky Girl,Casino de Viña del Mar,01-01-2022,01-01-2022,Nicki Minaj,Glovox producciones limitada
104,DISCOTEKA,Independance Club,28-02-2021,28-02-2021,Lola Indigo,IndyRock
105,SongKick,SOF Q8 Toinha Brasil,08-09-2020,08-09-2020,Skrillex,BRL Eventos
106,Ultra Solo ,Niceto Club,11-12-2021,11-12-2021,Pailita,FMG PRODUCCIONES
107,Schulz Forever,Arena Ludwingsburg,22-02-2021,22-02-2021,Robin Schulz,B+D Events
108,Born this way,Shubert Theatre,05-08-2017,05-08-2017,Lady Gaga,Event Production Company
109,Dia Cero,Forest National,14-11-2018,14-11-2018,La Ley,Global Journey
110,Papi Juancho,Estadio Rose Bowl,17-07-2022,17-07-2022,Maluma,Horwath Productions INC.
111,La Ultima Vuelta,Club RBX,12-11-2016,14-11-2016,Daddy Yankee,Street machine producciones s.a.
112,Le Reve,The Fillmore Philadelphia,28-03-2017,31-03-2017,Cirque du Solei,Live Nation
113,A7S Show,Barclaycard Arena,19-12-2017,19-12-2017,A7S,B+D Events
114,Umbrella Concert,Movistar Arena,08-07-2019,08-07-2019,Rihanna,ATOMIC FILMS
115,The Encounter,Crypto.com Arena,17-04-2022,17-04-2022,One Direction,Revelation
116,El Duko2.0,Thunder Bay,29-07-2020,29-07-2020,Duki,EventsEye
117,KAWAII,SALA SANTANA,02-06-2022,02-06-2022,Polima Westcoast,Planet Events
118,Paramore,Niceto Club,01-11-2017,01-11-2017,Paramore,FEG ENTRETENIMIENTOS 
119,Tomorrow Never Knows,Studio The Venue,03-07-2020,03-07-2020,The Beatles,Ethno Nueva Zelanda
120,Telepatia,Raley Field,03-02-2017,03-02-2017,Nathy Peluso,Eveerlast Productions INC.
121,PlanAhead,Luna Park,05-02-2021,05-02-2021,Alesso,ESTADIUM LUNA PARK
122,Big Time,Stage Live Kalea,04-07-2016,04-07-2016,Big Time Rush,Planet Events
123,MMM Bop,Wilterm Theatre,16-08-2017,16-08-2017,Hansen,Live Nation
124,Anastasia,Teatro Cariola,19-07-2019,19-07-2019,Cami,G & t business group spa
125,Five Day,Arena TSB Bank ,07-08-2021,07-08-2021,Pearl Jam,Event Management NZ
126,Fruta y te,Raley Field,17-04-2017,17-04-2017,Gepe,The Imagos
127,Dolby Live,Palais 12,06-07-2016,06-07-2016,Aerosmith,Top Bruselas
128,Map of the Soul,Teatro Municipal de Santiago,12-05-2020,15-05-2020,BTS,Capsule producciones spa
129,Born this way,Irving Plaza,09-12-2020,09-12-2020,Lady Gaga,CSI DMC
130,Passionfruit,Columbianhalle,10-10-2020,10-10-2020,Drake,Europages
131,WAP,Madison Square Garden,23-12-2018,23-12-2018,Cardi B,The Imagos
132,Tusa,Metropolitano Rosario,11-07-2020,11-07-2020,Nicki Minaj,ESPECTACULOS GALLO
133,Frozen,Teatro Colon,12-09-2019,12-09-2019,Madonna,FMG PRODUCCIONES
134,El Alfa Tour,The Brooklyn Monarch,25-08-2019,25-08-2019,El Alfa,Event Production Company
135,Reputation,Raley Field,30-03-2016,31-03-2016,Taylor Swift,Live Nation
136,MJ Tribute,Warehouse Live,01-12-2016,03-12-2016,Michael Jackson,AEG
137,FULL PIOLI,Estadio Rose Bowl,13-07-2017,13-07-2017,Pablo Chill-E,Revelation
138,One Night Only,WIZink Center,26-09-2017,26-09-2017,Bee Gees,Producciones Baltimore
139,Same old love,Days Bay Pavilion,28-03-2020,28-03-2020,Selena Gomez,manatua.nz
140,Convencete,Thunder Bay,16-02-2020,16-02-2020,Princesa Alba,EventsEye
141,Bigger than me,Metropol ,06-01-2020,06-01-2020,Louis Tomlinson,Europages
142,Alpha Eventalist,Estadio Bicentario de La Florida,15-10-2021,15-10-2021,Duncan Laurence,DG Medios y espectaculos s.a.
143,Young Flex,Estadio de Futbol Atanasio Girardot,09-04-2018,09-04-2018,Khea,Rocko Saroni Eventos
144,Nicky Jam Show,Radio City Music Hall,28-08-2019,28-08-2019,Nicky Jam,Live Nation
145,Big E Party Moment,Air Canada Centre,18-10-2020,18-10-2020,New Kids on the Block,Eventos Toronto Shaddai
146,Natural,Gran Arena Monticello,05-07-2016,05-07-2016,Selena Gomez,Dreams - eventos
147,Fourplan Mania,Kursaal Oostende,29-04-2019,29-04-2019,Duncan Laurence,Rove.me
148,Get Jacked,Arena TSB Bank ,16-01-2017,16-01-2017,Afrojack,Event Management NZ
149,JLo,Club Subterraneo,18-02-2018,18-02-2018,Jennifer Lopez,DG Medios y espectaculos s.a.
150,MMM Bop,HISTORY,14-05-2022,14-05-2022,Hansen,Expat
151,Eventage Feasts,Luna Park,06-09-2016,06-09-2016,Doja Cat,ESTADIUM LUNA PARK
152,Mil Rosas,City Hall el Rodeo,03-03-2016,03-03-2016,La Oreja de Van Gogh,Animationphoenix
153,I Used to Think I could Fly,Salitre Magico,23-10-2019,23-10-2019,Tate McRae,Sinstress Eventos
154,Que oso,Youtube Theatre,22-05-2018,22-05-2018,Snow,Los Angeles AV Production
155,Telepatia,Club Chocolate,04-06-2022,04-06-2022,Nathy Peluso,Eventos luis maturana ortega e.i.r.l
156,Everybody,Gran Arena Monticello,21-10-2016,21-10-2016,Madonna,DG Medios y espectaculos s.a.
157,Shape of you,Aussie Stadium,20-04-2016,20-04-2016,Ed Sheeran,Event Hire Sydney
158,CARAVANA,Carioca Club,29-07-2018,29-07-2018,Wos,BRL Eventos
159,Papi Juancho,Teatro Municipal de Santiago,18-09-2020,18-09-2020,Maluma,DG Medios y espectaculos s.a.
160,Ko Ko Pop,Palau Sant Jordi,20-04-2019,20-04-2019,EXO,LetsGo Company
161,Golden,La Marina de Valencia,23-03-2022,26-03-2022,Harry Styles,LetsGo Company
162,Bigger than me,Teatro Colon,29-05-2021,29-05-2021,Louis Tomlinson,PROSPERO PRODUCCIONES
163,Roads Time,Columbianhalle,02-06-2020,02-06-2020,Daft Punk,Europages
164,Young Dumb and Broke,Trafalgar Centre Paru,06-09-2020,06-09-2020,Khalid,Event Management NZ
165,RBD the comeback,Teatro Municipal de Valparaiso,17-02-2020,17-02-2020,RBD,Productora de eventos moviefan limitada
166,Talking to the moon,Aotea Centre,24-02-2021,24-02-2021,Bruno Mars,manatua.nz
167,TJB,Dodger Stadium,25-06-2022,25-06-2022,Jonas Brothers ,Hartmann Studios
168,Schulz Forever,La Marina de Valencia,22-03-2022,22-03-2022,Robin Schulz,Live Nation
169,Younger now,HISTORY,27-03-2017,27-03-2017,Miley Cyrus,EventsEye
170,Treat you better,Moon Valencia,30-09-2019,30-09-2019,Shawn Mendes,LetsGo Company
171,Habana ,Velodromo de Berlin,10-09-2018,10-09-2018,Camila Cabello,Litmind
172,Bigger than me,Estadio ANZ,28-07-2019,28-07-2019,Louis Tomlinson,CMG Audio Visual
173,I Aint Worried,Estadio Monumental,12-01-2019,12-01-2019,One Republic,K PRODUCCIONES S.A.
174,Kill my mind,La Madeleine,28-01-2017,28-01-2017,Louis Tomlinson,Xceed
175,Paramore,Powerstation 33,30-05-2016,30-05-2016,Paramore,manatua.nz
176,Best Part,Chango Club,08-11-2018,08-11-2018,Daniel Caesar,Planet Events
177,Maria Becerra,Teatro Municipal de Santiago,06-10-2022,06-10-2022,Maria Becerra,Ais producciones
178,ShoNuf Lucky,Opera de Sidney,02-10-2019,02-10-2019,Hardwell,Sydney WorldPride
179,El Duko,Parque Bicentenario Cerrillos,07-12-2018,07-12-2018,Duki,Andres gardeweg producciones e.i.r.l
180,How do you sleep,Teatro Municipal de Santiago,25-09-2021,25-09-2021,San Smith,Time for fun (t4f)
181,Lively And Supreme,Quinta Vergara,30-08-2018,30-08-2018,Armin Van Buuren,G & t business group spa
182,El Ultimo Concierto,Gran Arena Monticello,19-07-2016,22-07-2016,Soda Stereo,Sony music entertainment chile s.a.
183,Gowlding,Salitre Magico,17-12-2022,17-12-2022,Ellie Gowlding,Audio Level Eventos
184,Tren al Sur,Estadio Bicentario de La Florida,27-11-2018,27-11-2018,Los Prisioneros,Yellow House
185,RUNAWAY,Estadio ANZ,09-07-2021,12-07-2021,Bon Jovi,Expat
186,CARAVANA,Don Haskins Center,01-05-2019,01-05-2019,Wos,Event Production Company
187,Todo Cambia,Fundo Colmito,15-12-2021,15-12-2021,Mercedes Sosa,Comercial caupolican limitada
188,One Night Only,Bilbao Arena,08-10-2021,08-10-2021,Bee Gees,Ibolele Producciones
189,Watch out for this,Sala But,17-12-2019,17-12-2019,Major Lazer,Planet Events
190,Seize The Day,Thunder Bay,09-08-2022,09-08-2022,My Chemical Romance,EventsEye
191,Dangerous Woman,Days Bay Pavilion,02-08-2018,02-08-2018,Ariana Grande,Ethno Nueva Zelanda
192,I Aint Worried,Luna Park,15-05-2021,15-05-2021,One Republic,ESTADIUM LUNA PARK
193,La Ultima Mision,Estadio Rose Bowl,08-12-2017,08-12-2017,Wisin & Yandel,CSI DMC
194,Drivers License Tour,ZAG Arena,17-02-2016,17-02-2016,Olivia Rodrigo,MGC
195,Heather,Palau Sant Jordi,03-01-2018,03-01-2018,Conan Gray,Live Nation
196,Dangerous Woman,Niceto Club,22-07-2021,22-07-2021,Ariana Grande,Ramasso Productora
197,Gowlding,Sala Apolo,07-03-2019,07-03-2019,Ellie Gowlding,Live Nation
198,Michael Jackson Tribute,Cupula Multiespacio,13-11-2017,15-11-2017,Michael Jackson,Time for fun (t4f)
199,The Misery,Spark Arena,27-10-2020,27-10-2020,Imagine Dragons,Queenstown Event Company
200,El J23,Canadian Tire Centre,10-07-2020,10-07-2020,Jordan 23,Mayam Producciones
